rift_density,resource_count,initial_fuel,base_supply,resource_supply,seed_start,seed_count,seed_end,total_runs,direct_feasible_count,direct_feasible_ratio,via_base_feasible_count,via_base_feasible_ratio,via_resource_feasible_count,via_resource_feasible_ratio,any_feasible_count,any_feasible_ratio,still_infeasible_count,still_infeasible_ratio,direct_failure_count,rescued_by_base_count,rescued_by_base_ratio,rescued_by_resource_count,rescued_by_resource_ratio,base_only_rescue_count,base_only_rescue_ratio,resource_only_rescue_count,resource_only_rescue_ratio,both_supply_options_count,both_supply_options_ratio,base_rescue_rate_among_direct_failures,resource_rescue_rate_among_direct_failures,any_rescue_rate_among_direct_failures,base_only_share_among_rescued,any_feasible_ratio_delta_vs_r0,still_infeasible_ratio_delta_vs_r0,remaining_fuel_at_goal_sample_count,remaining_fuel_at_goal_excluded_count,remaining_fuel_at_goal_min,remaining_fuel_at_goal_median,remaining_fuel_at_goal_p90,remaining_fuel_at_goal_max,required_supply_sample_count,required_supply_excluded_count,required_supply_min,required_supply_median,required_supply_p90,required_supply_max,best_cost_via_resource_sample_count,best_cost_via_resource_excluded_count,best_cost_via_resource_min,best_cost_via_resource_median,best_cost_via_resource_p90,best_cost_via_resource_max
0.15,0,27,12,5,1,1000,1000,1000,938,0.938,938,0.938,0,0.0,938,0.938,62,0.062,62,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,938,62,12,22.0,24,25,938,62,0,0.0,0,0,0,1000,N/A,N/A,N/A,N/A
0.15,0,30,8,5,1,1000,1000,1000,938,0.938,938,0.938,0,0.0,938,0.938,62,0.062,62,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,938,62,12,21.0,23,24,938,62,0,0.0,0,0,0,1000,N/A,N/A,N/A,N/A
0.15,0,30,10,5,1,1000,1000,1000,938,0.938,938,0.938,0,0.0,938,0.938,62,0.062,62,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,938,62,13,23.0,25,26,938,62,0,0.0,0,0,0,1000,N/A,N/A,N/A,N/A
0.15,0,30,12,5,1,1000,1000,1000,938,0.938,938,0.938,0,0.0,938,0.938,62,0.062,62,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,938,62,15,25.0,27,28,938,62,0,0.0,0,0,0,1000,N/A,N/A,N/A,N/A
0.15,0,33,8,5,1,1000,1000,1000,938,0.938,938,0.938,0,0.0,938,0.938,62,0.062,62,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,938,62,15,24.0,26,27,938,62,0,0.0,0,0,0,1000,N/A,N/A,N/A,N/A
0.15,0,33,10,5,1,1000,1000,1000,938,0.938,938,0.938,0,0.0,938,0.938,62,0.062,62,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,938,62,16,26.0,28,29,938,62,0,0.0,0,0,0,1000,N/A,N/A,N/A,N/A
0.15,0,33,12,5,1,1000,1000,1000,938,0.938,938,0.938,0,0.0,938,0.938,62,0.062,62,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,938,62,18,28.0,30,31,938,62,0,0.0,0,0,0,1000,N/A,N/A,N/A,N/A
0.15,1,24,8,5,1,1000,1000,1000,938,0.938,938,0.938,930,0.93,938,0.938,62,0.062,62,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,938,62,6,15.0,17,18,938,62,0,0.0,0,0,937,63,14,18,23,32
0.15,1,24,10,5,1,1000,1000,1000,938,0.938,938,0.938,930,0.93,938,0.938,62,0.062,62,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,938,62,8,17.0,19,20,938,62,0,0.0,0,0,937,63,14,18,23,32
0.15,1,24,12,5,1,1000,1000,1000,938,0.938,938,0.938,930,0.93,938,0.938,62,0.062,62,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,938,62,10,19.0,21,22,938,62,0,0.0,0,0,937,63,14,18,23,32
0.15,1,27,8,5,1,1000,1000,1000,938,0.938,938,0.938,937,0.937,938,0.938,62,0.062,62,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,938,62,9,18.0,20,21,938,62,0,0.0,0,0,937,63,14,18,23,32
0.15,1,27,10,5,1,1000,1000,1000,938,0.938,938,0.938,937,0.937,938,0.938,62,0.062,62,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,938,62,11,20.0,22,23,938,62,0,0.0,0,0,937,63,14,18,23,32
0.15,1,27,12,5,1,1000,1000,1000,938,0.938,938,0.938,937,0.937,938,0.938,62,0.062,62,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,938,62,13,22.0,24,25,938,62,0,0.0,0,0,937,63,14,18,23,32
0.15,1,30,8,5,1,1000,1000,1000,938,0.938,938,0.938,937,0.937,938,0.938,62,0.062,62,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,938,62,12,21.0,23,24,938,62,0,0.0,0,0,937,63,14,18,23,32
0.15,1,30,10,5,1,1000,1000,1000,938,0.938,938,0.938,937,0.937,938,0.938,62,0.062,62,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,938,62,14,23.0,25,26,938,62,0,0.0,0,0,937,63,14,18,23,32
0.15,1,30,12,5,1,1000,1000,1000,938,0.938,938,0.938,937,0.937,938,0.938,62,0.062,62,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,938,62,16,25.0,27,28,938,62,0,0.0,0,0,937,63,14,18,23,32
0.15,1,33,8,5,1,1000,1000,1000,938,0.938,938,0.938,937,0.937,938,0.938,62,0.062,62,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,938,62,15,24.0,26,27,938,62,0,0.0,0,0,937,63,14,18,23,32
0.15,1,33,10,5,1,1000,1000,1000,938,0.938,938,0.938,937,0.937,938,0.938,62,0.062,62,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,938,62,17,26.0,28,29,938,62,0,0.0,0,0,937,63,14,18,23,32
0.15,1,33,12,5,1,1000,1000,1000,938,0.938,938,0.938,937,0.937,938,0.938,62,0.062,62,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,938,62,19,28.0,30,31,938,62,0,0.0,0,0,937,63,14,18,23,32
0.15,3,24,8,5,1,1000,1000,1000,938,0.938,938,0.938,938,0.938,938,0.938,62,0.062,62,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,938,62,8,15.0,17,18,938,62,0,0.0,0,0,938,62,14,17.0,19,25
0.15,3,24,10,5,1,1000,1000,1000,938,0.938,938,0.938,938,0.938,938,0.938,62,0.062,62,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,938,62,8,17.0,19,20,938,62,0,0.0,0,0,938,62,14,17.0,19,25
0.15,3,24,12,5,1,1000,1000,1000,938,0.938,938,0.938,938,0.938,938,0.938,62,0.062,62,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,938,62,10,19.0,21,22,938,62,0,0.0,0,0,938,62,14,17.0,19,25
0.15,3,27,8,5,1,1000,1000,1000,938,0.938,938,0.938,938,0.938,938,0.938,62,0.062,62,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,938,62,11,18.0,20,21,938,62,0,0.0,0,0,938,62,14,17.0,19,25
0.15,3,27,10,5,1,1000,1000,1000,938,0.938,938,0.938,938,0.938,938,0.938,62,0.062,62,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,938,62,11,20.0,22,23,938,62,0,0.0,0,0,938,62,14,17.0,19,25
0.15,3,27,12,5,1,1000,1000,1000,938,0.938,938,0.938,938,0.938,938,0.938,62,0.062,62,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,938,62,13,22.0,24,25,938,62,0,0.0,0,0,938,62,14,17.0,19,25
0.15,3,30,8,5,1,1000,1000,1000,938,0.938,938,0.938,938,0.938,938,0.938,62,0.062,62,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,938,62,14,21.0,23,24,938,62,0,0.0,0,0,938,62,14,17.0,19,25
0.15,3,30,10,5,1,1000,1000,1000,938,0.938,938,0.938,938,0.938,938,0.938,62,0.062,62,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,938,62,14,23.0,25,26,938,62,0,0.0,0,0,938,62,14,17.0,19,25
0.15,3,30,12,5,1,1000,1000,1000,938,0.938,938,0.938,938,0.938,938,0.938,62,0.062,62,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,938,62,16,25.0,27,28,938,62,0,0.0,0,0,938,62,14,17.0,19,25
0.15,3,33,8,5,1,1000,1000,1000,938,0.938,938,0.938,938,0.938,938,0.938,62,0.062,62,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,938,62,17,24.0,26,27,938,62,0,0.0,0,0,938,62,14,17.0,19,25
0.15,3,33,10,5,1,1000,1000,1000,938,0.938,938,0.938,938,0.938,938,0.938,62,0.062,62,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,938,62,17,26.0,28,29,938,62,0,0.0,0,0,938,62,14,17.0,19,25
0.15,3,33,12,5,1,1000,1000,1000,938,0.938,938,0.938,938,0.938,938,0.938,62,0.062,62,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,938,62,19,28.0,30,31,938,62,0,0.0,0,0,938,62,14,17.0,19,25
