rift_density,resource_count,initial_fuel,base_supply,resource_supply,seed_start,seed_count,seed_end,total_runs,direct_feasible_count,direct_feasible_ratio,via_base_feasible_count,via_base_feasible_ratio,via_resource_feasible_count,via_resource_feasible_ratio,any_feasible_count,any_feasible_ratio,still_infeasible_count,still_infeasible_ratio,direct_failure_count,rescued_by_base_count,rescued_by_base_ratio,rescued_by_resource_count,rescued_by_resource_ratio,base_only_rescue_count,base_only_rescue_ratio,resource_only_rescue_count,resource_only_rescue_ratio,both_supply_options_count,both_supply_options_ratio,base_rescue_rate_among_direct_failures,resource_rescue_rate_among_direct_failures,any_rescue_rate_among_direct_failures,base_only_share_among_rescued,any_feasible_ratio_delta_vs_r0,still_infeasible_ratio_delta_vs_r0,remaining_fuel_at_goal_sample_count,remaining_fuel_at_goal_excluded_count,remaining_fuel_at_goal_min,remaining_fuel_at_goal_median,remaining_fuel_at_goal_p90,remaining_fuel_at_goal_max,required_supply_sample_count,required_supply_excluded_count,required_supply_min,required_supply_median,required_supply_p90,required_supply_max,best_cost_via_resource_sample_count,best_cost_via_resource_excluded_count,best_cost_via_resource_min,best_cost_via_resource_median,best_cost_via_resource_p90,best_cost_via_resource_max
0.10,0,24,10,5,1,1000,1000,1000,977,0.977,977,0.977,0,0.0,977,0.977,23,0.023,23,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,977,23,10,17,19,20,977,23,0,0,0,0,0,1000,N/A,N/A,N/A,N/A
0.10,0,24,12,5,1,1000,1000,1000,977,0.977,977,0.977,0,0.0,977,0.977,23,0.023,23,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,977,23,12,19,21,22,977,23,0,0,0,0,0,1000,N/A,N/A,N/A,N/A
0.10,1,14,8,5,1,1000,1000,1000,80,0.08,973,0.973,713,0.713,975,0.975,25,0.025,920,893,0.893,639,0.639,256,0.256,2,0.002,637,0.637,0.9706521739130435,0.6945652173913044,0.9728260869565217,0.2860335195530726,0.0040000000000000036,-0.004,975,25,0,5,7,8,977,23,0,2,5,10,977,23,14,18,21,31
0.10,1,14,10,5,1,1000,1000,1000,80,0.08,976,0.976,713,0.713,976,0.976,24,0.024,920,896,0.896,639,0.639,257,0.257,0,0.0,639,0.639,0.9739130434782609,0.6945652173913044,0.9739130434782609,0.28683035714285715,-0.0010000000000000009,0.0010000000000000009,976,24,0,7.0,9,10,977,23,0,2,5,10,977,23,14,18,21,31
0.10,1,14,12,5,1,1000,1000,1000,80,0.08,977,0.977,713,0.713,977,0.977,23,0.023,920,897,0.897,639,0.639,258,0.258,0,0.0,639,0.639,0.975,0.6945652173913044,0.975,0.28762541806020064,0.0,0.0,977,23,1,9,11,12,977,23,0,2,5,10,977,23,14,18,21,31
0.10,1,16,8,5,1,1000,1000,1000,587,0.587,976,0.976,876,0.876,976,0.976,24,0.024,413,389,0.389,324,0.324,65,0.065,0,0.0,324,0.324,0.9418886198547215,0.784503631961259,0.9418886198547215,0.16709511568123395,-0.0010000000000000009,0.0010000000000000009,976,24,0,7.0,9,10,977,23,0,0,3,8,977,23,14,18,21,31
0.10,1,16,10,5,1,1000,1000,1000,587,0.587,977,0.977,876,0.876,977,0.977,23,0.023,413,390,0.39,324,0.324,66,0.066,0,0.0,324,0.324,0.9443099273607748,0.784503631961259,0.9443099273607748,0.16923076923076924,0.0,0.0,977,23,1,9,11,12,977,23,0,0,3,8,977,23,14,18,21,31
0.10,1,16,12,5,1,1000,1000,1000,587,0.587,977,0.977,876,0.876,977,0.977,23,0.023,413,390,0.39,324,0.324,66,0.066,0,0.0,324,0.324,0.9443099273607748,0.784503631961259,0.9443099273607748,0.16923076923076924,0.0,0.0,977,23,3,11,13,14,977,23,0,0,3,8,977,23,14,18,21,31
0.10,1,18,8,5,1,1000,1000,1000,917,0.917,977,0.977,937,0.937,977,0.977,23,0.023,83,60,0.06,49,0.049,11,0.011,0,0.0,49,0.049,0.7228915662650602,0.5903614457831325,0.7228915662650602,0.18333333333333332,0.0,0.0,977,23,1,9,11,12,977,23,0,0,0,4,977,23,14,18,21,31
0.10,1,18,10,5,1,1000,1000,1000,917,0.917,977,0.977,937,0.937,977,0.977,23,0.023,83,60,0.06,49,0.049,11,0.011,0,0.0,49,0.049,0.7228915662650602,0.5903614457831325,0.7228915662650602,0.18333333333333332,0.0,0.0,977,23,3,11,13,14,977,23,0,0,0,4,977,23,14,18,21,31
